"indicator","Spanish Mackerel_SEDAR81_Commercial_Catch","Spanish Mackerel_SEDAR81_Commercial_Catch","Spanish Mackerel_SEDAR81_Commercial_Catch","Spanish Mackerel_SEDAR81_Commercial_Catch","Spanish Mackerel_SEDAR81_Commercial_Catch"
"unit","Metric tons","Metric tons","Metric tons","Metric tons","Metric tons"
"extent","commercial_landings","commercial_totcatch","commercial_dead_discards","commercial_ratio","bycatch_discards"
"2000","413.4815","413.4815","0","Inf","1071.24"
"2001","536.7868","536.7868","0","Inf","1021.94"
"2002","435.8458","435.8458","0","Inf","797"
"2003","668.5388","668.5388","0","Inf","708.447"
"2004","515.4534","515.4534","0","Inf","696.728"
"2005","720.6871","720.6871","0","Inf","415.203"
"2006","662.8076","662.8076","0","Inf","473.712"
"2007","444.6551","444.6551","0","Inf","423.191"
"2008","589.6966","589.6966","0","Inf","403.981"
"2009","823.8824","823.8824","0","Inf","393.976"
"2010","567.9407","567.9407","0","Inf","300.666"
"2011","598.9403","598.9403","0","Inf","370.476"
"2012","749.8803","749.8803","0","Inf","406.293"
"2013","605.0765","605.0765","0","Inf","282.416"
"2014","381.8007","381.8007","0","Inf","403.877"
"2015","485.9463","485.9463","0","Inf","285.189"
"2016","559.406","559.406","0","Inf","418.109"
"2017","285.6093","285.6093","0","Inf","367.176"
"2018","522.259","522.259","0","Inf","377.367"
"2019","406.3399","406.3399","0","Inf","370.803"
"2020","237.4664","237.4664","0","Inf","289.236"
"2021","190.4745","190.4745","0","Inf","234.301"
